,country,month,number,year,type,date
0,総数,1,2689339.0,2019,actual_number,2019-01-01
1,アジア計,1,2366944.0,2019,actual_number,2019-01-01
2,韓国,1,779383.0,2019,actual_number,2019-01-01
3,中国,1,754421.0,2019,actual_number,2019-01-01
4,台湾,1,387498.0,2019,actual_number,2019-01-01
5,香港,1,154292.0,2019,actual_number,2019-01-01
6,タイ,1,92649.0,2019,actual_number,2019-01-01
7,シンガポール,1,22676.0,2019,actual_number,2019-01-01
8,マレーシア,1,31399.0,2019,actual_number,2019-01-01
9,インドネシア,1,32477.0,2019,actual_number,2019-01-01
10,フィリピン,1,35987.0,2019,actual_number,2019-01-01
11,ベトナム,1,35375.0,2019,actual_number,2019-01-01
12,インド,1,12468.0,2019,actual_number,2019-01-01
13,マカオ,1,6608.0,2019,actual_number,2019-01-01
14,イスラエル,1,1107.0,2019,actual_number,2019-01-01
15,モンゴル,1,2893.0,2019,actual_number,2019-01-01
16,トルコ,1,1153.0,2019,actual_number,2019-01-01
17,その他アジア,1,16558.0,2019,actual_number,2019-01-01
18,ヨーロッパ計,1,92337.0,2019,actual_number,2019-01-01
19,英国,1,21554.0,2019,actual_number,2019-01-01
20,フランス,1,15320.0,2019,actual_number,2019-01-01
21,ドイツ,1,11358.0,2019,actual_number,2019-01-01
22,イタリア,1,6033.0,2019,actual_number,2019-01-01
23,ロシア,1,6316.0,2019,actual_number,2019-01-01
24,スペイン,1,4382.0,2019,actual_number,2019-01-01
25,スウェーデン,1,3509.0,2019,actual_number,2019-01-01
26,オランダ,1,3321.0,2019,actual_number,2019-01-01
27,スイス,1,2399.0,2019,actual_number,2019-01-01
28,ベルギー,1,1572.0,2019,actual_number,2019-01-01
29,フィンランド,1,1875.0,2019,actual_number,2019-01-01
30,ポーランド,1,1517.0,2019,actual_number,2019-01-01
31,デンマーク,1,1544.0,2019,actual_number,2019-01-01
32,ノルウェー,1,1537.0,2019,actual_number,2019-01-01
33,オーストリア,1,1382.0,2019,actual_number,2019-01-01
34,ポルトガル,1,1587.0,2019,actual_number,2019-01-01
35,アイルランド,1,1316.0,2019,actual_number,2019-01-01
36,その他ヨーロッパ,1,5815.0,2019,actual_number,2019-01-01
37,アフリカ計,1,2777.0,2019,actual_number,2019-01-01
38,北アメリカ計,1,130340.0,2019,actual_number,2019-01-01
39,米国,1,103191.0,2019,actual_number,2019-01-01
40,カナダ,1,22293.0,2019,actual_number,2019-01-01
41,メキシコ,1,3615.0,2019,actual_number,2019-01-01
42,その他北アメリカ,1,1241.0,2019,actual_number,2019-01-01
43,南アメリカ計,1,7420.0,2019,actual_number,2019-01-01
44,ブラジル,1,2935.0,2019,actual_number,2019-01-01
45,その他南アメリカ,1,4485.0,2019,actual_number,2019-01-01
46,オセアニア計,1,89476.0,2019,actual_number,2019-01-01
47,豪州,1,81063.0,2019,actual_number,2019-01-01
48,ニュージーランド,1,7920.0,2019,actual_number,2019-01-01
49,その他オセアニア,1,493.0,2019,actual_number,2019-01-01
50,無国籍・その他,1,45.0,2019,actual_number,2019-01-01
51,総数,2,2604322.0,2019,actual_number,2019-02-01
52,アジア計,2,2323258.0,2019,actual_number,2019-02-01
53,韓国,2,715804.0,2019,actual_number,2019-02-01
54,中国,2,723617.0,2019,actual_number,2019-02-01
55,台湾,2,399829.0,2019,actual_number,2019-02-01
56,香港,2,179324.0,2019,actual_number,2019-02-01
57,タイ,2,107845.0,2019,actual_number,2019-02-01
58,シンガポール,2,26102.0,2019,actual_number,2019-02-01
59,マレーシア,2,36660.0,2019,actual_number,2019-02-01
60,インドネシア,2,24622.0,2019,actual_number,2019-02-01
61,フィリピン,2,35170.0,2019,actual_number,2019-02-01
62,ベトナム,2,39377.0,2019,actual_number,2019-02-01
63,インド,2,9071.0,2019,actual_number,2019-02-01
64,マカオ,2,7933.0,2019,actual_number,2019-02-01
65,イスラエル,2,1524.0,2019,actual_number,2019-02-01
66,モンゴル,2,2108.0,2019,actual_number,2019-02-01
67,トルコ,2,1105.0,2019,actual_number,2019-02-01
68,その他アジア,2,13167.0,2019,actual_number,2019-02-01
69,ヨーロッパ計,2,99499.0,2019,actual_number,2019-02-01
70,英国,2,23554.0,2019,actual_number,2019-02-01
71,フランス,2,17397.0,2019,actual_number,2019-02-01
72,ドイツ,2,13384.0,2019,actual_number,2019-02-01
73,イタリア,2,5897.0,2019,actual_number,2019-02-01
74,ロシア,2,5601.0,2019,actual_number,2019-02-01
75,スペイン,2,4533.0,2019,actual_number,2019-02-01
76,スウェーデン,2,3228.0,2019,actual_number,2019-02-01
77,オランダ,2,4139.0,2019,actual_number,2019-02-01
78,スイス,2,2568.0,2019,actual_number,2019-02-01
79,ベルギー,2,1849.0,2019,actual_number,2019-02-01
80,フィンランド,2,2213.0,2019,actual_number,2019-02-01
81,ポーランド,2,1591.0,2019,actual_number,2019-02-01
82,デンマーク,2,1843.0,2019,actual_number,2019-02-01
83,ノルウェー,2,1640.0,2019,actual_number,2019-02-01
84,オーストリア,2,1479.0,2019,actual_number,2019-02-01
85,ポルトガル,2,1571.0,2019,actual_number,2019-02-01
86,アイルランド,2,1333.0,2019,actual_number,2019-02-01
87,その他ヨーロッパ,2,5679.0,2019,actual_number,2019-02-01
88,アフリカ計,2,2337.0,2019,actual_number,2019-02-01
